train_acc,train_loss,val_acc,val_loss,val_f1,val_precision,val_recall,curr_epoch
0.5,0.6994935,0.66,0.69244874,0.3925915278392058,0.33,0.5,0
0.625,0.6755887,0.34,0.69598824,0.2437150104797164,0.17,0.5,1
0.7249999999999999,0.6152197,0.3440000000000001,0.699824,0.25542851919322507,0.22866666666666668,0.47638888888888886,2
0.7249999999999999,0.5726824,0.4640000000000001,0.69722176,0.44096614496614495,0.5340952380952381,0.5431587301587302,3
0.725,0.5675182,0.632,0.66402626,0.5885171527818587,0.614547619047619,0.616484126984127,4
0.8,0.5265682,0.768,0.60263014,0.7002475302475303,0.7343412698412699,0.7150396825396825,5
0.725,0.65776616,0.76,0.567637,0.7332184123066476,0.7725952380952381,0.7723015873015872,6
0.8500000000000001,0.95017755,0.5319999999999999,0.64796877,0.494273452038158,0.6370714285714285,0.6476269841269842,7
0.675,0.90244627,0.52,0.84345937,0.4886667221667222,0.666873015873016,0.6376587301587301,8
0.65,0.7282089,0.524,0.8143855,0.4753480963480963,0.6462698412698414,0.6316507936507937,9
0.725,0.8866525,0.564,0.80285454,0.5197150627150626,0.6349523809523809,0.6612698412698412,10
0.675,0.8952327,0.4760000000000001,0.91730124,0.4344241314241314,0.4961349206349206,0.46173015873015866,11
0.625,0.8629902,0.456,0.9055571,0.41703108003107997,0.46426190476190476,0.45676190476190476,12
0.7750000000000001,0.6710714,0.4640000000000001,1.0720685,0.4227616827616827,0.4658888888888889,0.42976190476190473,13
0.85,0.6309085,0.49999999999999994,1.0334692,0.46732345432345435,0.5288809523809523,0.5169920634920634,14
0.825,0.6283416,0.52,1.0036035,0.49733832833832836,0.6371666666666667,0.6191587301587301,15
0.8,1.071267,0.544,0.8101573,0.5061596181596182,0.6320793650793651,0.639047619047619,16
0.8,0.6773408,0.392,1.3561606,0.3147485672222514,0.3989999999999999,0.5182063492063491,17
0.8999999999999999,0.560122,0.424,1.3243467,0.3673307803307803,0.507,0.5306349206349207,18
0.8,0.588294,0.5159999999999999,1.1349565,0.47517776667776673,0.6102619047619048,0.6331190476190476,19
0.8500000000000001,0.5127804,0.664,0.6305625,0.6384517704517705,0.7374206349206348,0.7350396825396825,20
0.8500000000000001,0.496116,0.6799999999999998,0.55711806,0.6431776001776001,0.6908095238095239,0.712468253968254,21
0.825,0.5728463,0.6759999999999999,0.56537896,0.64265096015096,0.6847539682539683,0.7200317460317461,22
0.925,0.3898162,0.612,0.63826865,0.5856493506493506,0.6747857142857143,0.6813730158730158,23
