train_acc,train_loss,val_acc,val_loss,val_f1,val_precision,val_recall,curr_epoch
0.525,0.6957657,0.344,0.71070474,0.24393479069949658,0.172,0.48,0
0.575,0.6714797,0.54,0.67471886,0.5237281607281608,0.6686825396825398,0.6535238095238095,1
0.7000000000000001,0.66285896,0.7040000000000001,0.57153547,0.6759883090765443,0.737706349206349,0.7616190476190476,2
0.7249999999999999,0.65534955,0.8079999999999998,0.48570287,0.7890831390831391,0.8231587301587301,0.8532063492063492,3
0.675,0.67162925,0.596,0.8209236,0.5554451104451105,0.6602222222222223,0.6686349206349206,4
0.7,0.6862424,0.768,0.7716993,0.7465102870985223,0.8018730158730158,0.8257539682539682,5
0.8,0.61717206,0.748,0.8905514,0.7315604591486944,0.7869285714285715,0.8061428571428572,6
0.75,0.7315626,0.7040000000000001,0.8143382,0.6850433455433454,0.7583571428571428,0.7772142857142857,7
0.6499999999999999,0.75983155,0.7160000000000001,0.6818119,0.6926257631257632,0.7576190476190476,0.7681825396825397,8
0.625,0.88664514,0.792,0.5286286,0.7732594823477176,0.8061428571428572,0.8338571428571427,9
0.775,0.70853776,0.8160000000000001,0.45973855,0.7868770673770673,0.8175714285714286,0.8321984126984127,10
0.725,0.7808752,0.7319999999999999,0.64309156,0.6967390028272381,0.7728968253968254,0.7786666666666667,11
0.7000000000000001,0.96734923,0.76,0.5554588,0.7134142001789061,0.726,0.7434285714285714,12
0.675,0.8485949,0.764,0.4999996,0.6762809649930392,0.6900555555555556,0.6819285714285716,13
0.65,0.84377134,0.6480000000000001,0.6309205,0.6213386809269162,0.636047619047619,0.6552539682539684,14
0.7,0.7568653,0.848,0.47616136,0.8203496328233172,0.8355952380952381,0.862,15
0.7749999999999999,0.78802145,0.8440000000000001,0.47095555,0.8284930820813174,0.837857142857143,0.8602301587301586,16
0.7250000000000001,1.0685171,0.8079999999999999,0.65105677,0.7730181681064034,0.7987063492063491,0.8105476190476191,17
0.7749999999999999,1.0797209,0.7480000000000001,0.64978623,0.7214470758000171,0.7787857142857143,0.7951825396825396,18
0.75,0.9560927,0.6759999999999999,1.0858074,0.6542911728794081,0.7379444444444445,0.740968253968254,19
0.75,1.1691293,0.648,2.0430338,0.6284300144300143,0.7334920634920634,0.7050079365079366,20
