train_acc,train_loss,val_acc,val_loss,curr_epoch
0.55,0.6904646,0.30833333333333335,0.7025137,0
0.42500000000000004,0.6847253,0.6541666666666667,0.68637043,1
0.7749999999999999,0.6299409,0.7958333333333333,0.5997459,2
0.65,0.6807883,0.8083333333333335,0.54078466,3
0.625,0.6608907,0.7958333333333333,0.5359004,4
0.775,0.68602216,0.7875000000000001,0.84407216,5
0.7,0.7242493,0.7916666666666666,0.5957528,6
0.7,0.74357355,0.6875,0.91265756,7
0.8,0.63149786,0.4791666666666666,2.1543422,8
0.85,0.89570594,0.4916666666666667,2.1691623,9
0.7,0.8138814,0.7583333333333333,0.66892743,10
0.7,0.83339,0.6666666666666666,1.7919389,11
0.75,0.8137474,0.5583333333333333,1.7210827,12
0.7,1.0443461,0.65,1.615805,13
0.6499999999999999,0.8648888,0.7416666666666666,0.78650856,14
0.725,0.85289097,0.7958333333333333,0.4279665,15
0.65,0.9215463,0.775,0.98131305,16
0.6499999999999999,1.0199449,0.8041666666666667,0.5062112,17
0.7,1.1014729,0.7833333333333333,0.6609903,18
0.7,1.0009052,0.7875,0.5037888,19
0.7250000000000001,1.0754429,0.7958333333333334,0.4845262,20
0.8,1.0564961,0.7166666666666667,0.616005,21
0.625,1.1482923,0.4833333333333334,1.1865288,22
0.55,1.2416662,0.3333333333333333,2.1696901,23
0.5,1.2686756,0.325,2.3739483,24
0.575,1.2107899,0.575,0.8376816,25
0.675,1.3647168,0.6541666666666667,0.6382062,26
0.675,1.5073698,0.4333333333333333,1.8764576,27
0.55,1.2429378,0.40416666666666673,1.8924757,28
0.6,0.98971766,0.3958333333333333,2.045061,29
0.5,1.192553,0.3333333333333333,2.3518748,30
0.5,1.2860713,0.32499999999999996,2.3023257,31
0.5,1.1525102,0.3375000000000001,1.8146948,32
0.5,1.248649,0.3541666666666667,1.3740462,33
0.5,1.3305547,0.32083333333333336,1.5317463,34
0.5,1.1430382,0.3583333333333332,1.3711723,35
0.5,1.2854977,0.3333333333333333,1.5485803,36
0.5,1.1927733,0.33749999999999997,1.4327779,37
0.5,1.2524093,0.3166666666666667,1.3848385,38
0.5,1.2030605,0.3333333333333333,1.4823618,39
0.5,1.1325316,0.33749999999999997,1.8134018,40
0.5,1.4223874,0.325,1.9676741,41
0.5,1.2183514,0.325,2.2482383,42
0.5,1.4917105,0.33749999999999997,1.9292485,43
0.5,1.279124,0.32083333333333336,1.6983567,44
0.5,1.37033,0.32916666666666666,1.6107879,45
0.5,1.2317128,0.33749999999999997,1.6128162,46
0.5,1.3258246,0.325,1.8440846,47
0.5,1.3054068,0.32083333333333336,2.030372,48
0.5,1.2035371,0.32916666666666666,2.0735862,49
0.5,1.2387538,0.3208333333333333,2.244646,50
0.5,1.6235462,0.33749999999999997,2.2142718,51
0.5,1.3708079,0.3208333333333333,2.06098,52
0.5,1.3903565,0.32916666666666666,2.0310009,53
0.5,1.4548373,0.32916666666666666,2.018063,54
0.5,1.332061,0.3333333333333333,2.0347683,55
0.5,1.3230898,0.32083333333333336,2.0664842,56
0.5,1.6656715,0.3208333333333333,1.8650829,57
0.5,1.3574492,0.325,1.75785,58
0.5,1.3258023,0.3374999999999999,1.6575865,59
0.5,1.417839,0.3208333333333333,1.6753467,60
0.5,1.6656444,0.32916666666666666,1.6822572,61
0.5,1.4923174,0.3291666666666666,1.7108747,62
0.5,1.3882446,0.325,1.8160976,63
0.5,1.6864841,0.32083333333333336,1.8426656,64
0.525,1.555404,0.31666666666666665,1.825058,65
0.5,1.5087512,0.3166666666666667,1.8231492,66
0.5,1.3182956,0.32916666666666666,1.9014434,67
0.5,1.251071,0.325,1.9975352,68
0.5,1.2649496,0.325,1.9525646,69
0.525,1.4727752,0.32499999999999996,2.0544202,70
0.55,1.7163237,0.33749999999999997,1.8460811,71
0.575,1.2934794,0.33749999999999997,1.7487854,72
0.55,1.5159057,0.325,1.9309778,73
0.5,1.4962931,0.325,1.8635935,74
0.5,1.5031481,0.3333333333333333,1.953959,75
0.5,1.6607088,0.32916666666666666,2.0302942,76
0.5,1.4587418,0.32916666666666666,2.0879743,77
0.5,1.5014708,0.32499999999999996,2.028438,78
0.5,1.702232,0.32916666666666666,1.979733,79
0.5,1.5489135,0.3208333333333333,1.9762033,80
0.5,1.6066422,0.3333333333333333,1.902537,81
0.5,1.3781433,0.32916666666666666,1.9844335,82
0.5,1.745527,0.32916666666666666,1.9549037,83
0.5,1.4627488,0.32916666666666666,1.9736919,84
0.5,1.4490899,0.32916666666666666,1.9101871,85
0.5,1.5306993,0.32916666666666666,1.9821768,86
0.5,1.4476893,0.31666666666666665,2.1074896,87
0.5,1.6758732,0.325,2.0197947,88
0.5,1.5070233,0.3375000000000001,1.8717953,89
0.5,1.604516,0.32083333333333336,1.9601563,90
0.5,1.5473897,0.31666666666666665,1.9548916,91
0.5,1.7744603,0.32916666666666666,1.948424,92
0.5,1.5859714,0.33749999999999997,1.9091287,93
0.5,1.6845577,0.32916666666666666,1.8808445,94
0.5,1.3012712,0.3333333333333333,1.84127,95
0.5,1.8558891,0.325,1.9021612,96
0.5,1.7232627,0.3333333333333333,1.853088,97
0.5,1.4220968,0.325,2.0601087,98
0.5,1.6608409,0.32916666666666666,1.8682675,99
