train_acc,train_loss,val_acc,val_loss,curr_epoch
0.5,0.76098895,0.6791666666666667,0.68656343,0
0.5,0.7121754,0.7083333333333334,0.6859889,1
0.5,0.7226304,0.4000000000000001,0.6859223,2
0.5,0.7030248,0.3708333333333333,0.70755905,3
0.525,0.7077329,0.35000000000000003,0.833293,4
0.5,0.7854217,0.3333333333333333,0.85712665,5
0.525,0.72680473,0.3333333333333333,0.93876046,6
0.5,0.81444585,0.3333333333333333,1.1054517,7
0.5,0.8010833,0.32916666666666666,1.2005968,8
0.5,0.85692644,0.32916666666666666,1.2074171,9
0.5,0.90471447,0.32916666666666666,1.2589599,10
0.5,0.8973231,0.325,1.3679594,11
0.5,0.9886811,0.3375000000000001,1.3286321,12
0.5,0.9140965,0.33749999999999997,1.5163139,13
0.5,0.97489995,0.3333333333333333,1.5947227,14
0.5,1.0326793,0.3125,1.6923486,15
0.5,1.0130618,0.33749999999999997,1.6841588,16
0.5,0.9965014,0.325,1.881755,17
0.5,0.9796907,0.325,1.600402,18
0.5,0.98391235,0.31666666666666665,1.5719756,19
0.5,1.0019597,0.32916666666666666,1.6325922,20
0.5,1.0708961,0.325,1.6371541,21
0.5,1.0303111,0.325,1.5070239,22
0.5,1.0399,0.32916666666666666,1.5122353,23
0.5,1.0862094,0.3208333333333333,1.5190673,24
0.5,1.0759981,0.325,1.508602,25
0.5,1.1040701,0.32916666666666666,1.5688971,26
0.5,1.0616999,0.31666666666666665,1.7363313,27
0.5,1.0884573,0.33749999999999997,1.8722335,28
0.5,1.2024317,0.325,1.876412,29
0.5,1.0886831,0.3333333333333333,1.5761533,30
0.5,1.1502988,0.3291666666666667,1.6839925,31
0.5,1.1811,0.32916666666666666,1.7262098,32
0.5,1.1458845,0.33749999999999997,1.766796,33
0.5,1.1575334,0.3375000000000001,1.6527071,34
0.5,1.1413692,0.3333333333333333,1.4831735,35
0.5,1.1436124,0.33749999999999997,1.4410763,36
0.5,1.2307892,0.32916666666666666,1.4854674,37
0.5,1.2341182,0.325,1.5446687,38
0.5,1.2630568,0.3208333333333333,1.5530791,39
0.5,1.2632041,0.325,1.6562587,40
0.5,1.367963,0.3208333333333333,1.7665358,41
0.5,1.2252629,0.3333333333333333,1.8404366,42
0.5,1.318472,0.325,1.8219634,43
0.5,1.2458768,0.33333333333333326,1.7326932,44
0.5,1.172643,0.32499999999999996,1.632699,45
0.5,1.2943172,0.32916666666666666,1.7102884,46
0.5,1.2840061,0.32916666666666666,1.6340036,47
0.5,1.3285785,0.3333333333333333,1.7504001,48
0.5,1.3485992,0.31666666666666665,1.7314402,49
0.5,1.1580786,0.325,1.7253498,50
0.5,1.3391538,0.32916666666666666,1.7388359,51
0.5,1.2671682,0.3083333333333334,1.7800602,52
0.5,1.4266653,0.325,1.7999645,53
0.5,1.409411,0.33749999999999997,1.761088,54
0.5,1.1645064,0.31666666666666665,1.8786092,55
0.5,1.4357684,0.32916666666666666,1.804766,56
0.5,1.3511899,0.3125,1.6768194,57
0.5,1.481168,0.31666666666666665,1.9416741,58
0.5,1.41786,0.3333333333333333,1.7698826,59
0.5,1.3398991,0.32916666666666666,1.8261433,60
0.5,1.3035252,0.3333333333333333,1.966001,61
0.5,1.4251609,0.32916666666666666,1.6944903,62
0.5,1.1973526,0.3416666666666666,1.6542221,63
0.5,1.5914001,0.32083333333333336,1.7915212,64
0.525,1.3201969,0.3208333333333333,1.7151875,65
0.5,1.4146137,0.32916666666666666,1.6839614,66
0.5,1.4957225,0.33333333333333326,1.7906011,67
0.5,1.5666944,0.32916666666666666,1.6472921,68
0.5,1.4728758,0.32916666666666666,1.5992991,69
0.5,1.3366416,0.32916666666666666,1.6328334,70
0.5,1.4303633,0.3291666666666667,1.5573072,71
0.5,1.5307646,0.3375000000000001,1.5125986,72
0.5,1.4732001,0.3333333333333334,1.6313438,73
0.5,1.5623974,0.325,1.7223501,74
0.5,1.6174526,0.32916666666666666,1.6631151,75
0.5,1.4148667,0.32916666666666666,1.7215819,76
0.5,1.4868789,0.3416666666666666,1.6156031,77
0.5,1.7444966,0.3291666666666667,1.6134928,78
0.5,1.6401023,0.3333333333333333,1.6887649,79
0.5,1.3217509,0.32916666666666666,1.6804018,80
0.5,1.7530066,0.32916666666666666,1.671198,81
0.5,1.3485589,0.325,1.8971887,82
0.5,1.6175139,0.32916666666666666,1.8936363,83
0.5,1.3479297,0.325,1.8471924,84
0.5,1.447333,0.325,1.9572105,85
0.5,1.5653627,0.3333333333333333,2.058365,86
0.5,1.8392136,0.3333333333333333,1.945961,87
0.5,1.5489969,0.32916666666666666,2.000648,88
0.5,1.8692901,0.325,1.9251622,89
0.5,1.4621443,0.32083333333333336,1.8979474,90
0.5,1.5750763,0.33749999999999997,1.9221276,91
0.5,1.5439484,0.3333333333333333,1.993744,92
0.5,1.9754548,0.32500000000000007,1.8647991,93
0.5,1.9233727,0.325,1.978891,94
0.5,1.5626078,0.32916666666666666,1.910102,95
0.5,1.5858109,0.3208333333333333,1.7751597,96
0.5,1.7743483,0.3333333333333333,1.7782431,97
0.5,2.0240188,0.325,1.8980435,98
0.5,1.6955343,0.31666666666666665,1.9323015,99
